Timestamp,Filesystem,Size,Used,Available,Use%,Mounted_on,Inodes_Total,Inodes_Used,Inodes_Free,Inodes_Use%
2025-01-14_15-37-06,/dev/disk3s6,233752 MB,9216 MB,22967 MB,29%,9 235185720    0%   /System/Volumes/VM,,,,
2025-01-14_15-37-06,/dev/disk3s2,233752 MB,6264 MB,22967 MB,22%,1110 235185720    0%   /System/Volumes/Preboot,,,,
2025-01-14_15-37-06,/dev/disk3s4,233752 MB,2 MB,22967 MB,1%,50 235185720    0%   /System/Volumes/Update,,,,
2025-01-14_15-37-06,/dev/disk1s2,500 MB,6 MB,482 MB,2%,1   4942960    0%   /System/Volumes/xarts,,,,
2025-01-14_15-37-06,/dev/disk1s1,500 MB,5 MB,482 MB,2%,29   4942960    0%   /System/Volumes/iSCPreboot,,,,
2025-01-14_15-37-06,/dev/disk1s3,500 MB,0 MB,482 MB,1%,62   4942960    0%   /System/Volumes/Hardware,,,,
2025-01-14_15-37-06,/dev/disk3s5,233752 MB,184001 MB,22967 MB,89%,2953581 235185720    1%   /System/Volumes/Data,,,,
2025-01-14_15-37-06,map,0 MB,0 MB,0 MB,0,100%       0         0     -   /System/Volumes/Data/home,,,,
2025-01-14_15-37-16,/dev/disk3s1s1,233752 MB,10239 MB,22967 MB,31%,408310 235187920    0%   /,,,,
2025-01-14_15-37-16,devfs,0 MB,0 MB,0 MB,100%,750         0  100%   /dev,,,,
2025-01-14_15-37-16,/dev/disk3s6,233752 MB,9216 MB,22967 MB,29%,9 235187920    0%   /System/Volumes/VM,,,,
2025-01-14_15-37-16,/dev/disk3s2,233752 MB,6264 MB,22967 MB,22%,1110 235187920    0%   /System/Volumes/Preboot,,,,
2025-01-14_15-37-16,/dev/disk3s4,233752 MB,2 MB,22967 MB,1%,50 235187920    0%   /System/Volumes/Update,,,,
2025-01-14_15-37-16,/dev/disk1s2,500 MB,6 MB,482 MB,2%,1   4942960    0%   /System/Volumes/xarts,,,,
2025-01-14_15-37-16,/dev/disk1s1,500 MB,5 MB,482 MB,2%,29   4942960    0%   /System/Volumes/iSCPreboot,,,,
2025-01-14_15-37-16,/dev/disk1s3,500 MB,0 MB,482 MB,1%,62   4942960    0%   /System/Volumes/Hardware,,,,
2025-01-14_15-37-16,/dev/disk3s5,233752 MB,184000 MB,22967 MB,89%,2953550 235187920    1%   /System/Volumes/Data,,,,
2025-01-14_15-37-16,map,0 MB,0 MB,0 MB,0,100%       0         0     -   /System/Volumes/Data/home,,,,
2025-01-14_15-37-26,/dev/disk3s1s1,233752 MB,10239 MB,22966 MB,31%,408310 235181280    0%   /,,,,
2025-01-14_15-37-26,devfs,0 MB,0 MB,0 MB,100%,750         0  100%   /dev,,,,
2025-01-14_15-37-26,/dev/disk3s6,233752 MB,9216 MB,22966 MB,29%,9 235181280    0%   /System/Volumes/VM,,,,
2025-01-14_15-37-26,/dev/disk3s2,233752 MB,6264 MB,22966 MB,22%,1110 235181280    0%   /System/Volumes/Preboot,,,,
2025-01-14_15-37-26,/dev/disk3s4,233752 MB,2 MB,22966 MB,1%,50 235181280    0%   /System/Volumes/Update,,,,
2025-01-14_15-37-26,/dev/disk1s2,500 MB,6 MB,482 MB,2%,1   4942960    0%   /System/Volumes/xarts,,,,
2025-01-14_15-37-26,/dev/disk1s1,500 MB,5 MB,482 MB,2%,29   4942960    0%   /System/Volumes/iSCPreboot,,,,
2025-01-14_15-37-26,/dev/disk1s3,500 MB,0 MB,482 MB,1%,62   4942960    0%   /System/Volumes/Hardware,,,,
2025-01-14_15-37-26,/dev/disk3s5,233752 MB,184001 MB,22966 MB,89%,2953551 235181280    1%   /System/Volumes/Data,,,,
2025-01-14_15-37-26,map,0 MB,0 MB,0 MB,0,100%       0         0     -   /System/Volumes/Data/home,,,,
2025-01-14_15-37-36,/dev/disk3s1s1,233752 MB,10239 MB,22966 MB,31%,408310 235180120    0%   /,,,,
2025-01-14_15-37-36,devfs,0 MB,0 MB,0 MB,100%,750         0  100%   /dev,,,,
2025-01-14_15-37-36,/dev/disk3s6,233752 MB,9216 MB,22966 MB,29%,9 235180120    0%   /System/Volumes/VM,,,,
2025-01-14_15-37-36,/dev/disk3s2,233752 MB,6264 MB,22966 MB,22%,1110 235180120    0%   /System/Volumes/Preboot,,,,
2025-01-14_15-37-36,/dev/disk3s4,233752 MB,2 MB,22966 MB,1%,50 235180120    0%   /System/Volumes/Update,,,,
2025-01-14_15-37-36,/dev/disk1s2,500 MB,6 MB,482 MB,2%,1   4942960    0%   /System/Volumes/xarts,,,,
2025-01-14_15-37-36,/dev/disk1s1,500 MB,5 MB,482 MB,2%,29   4942960    0%   /System/Volumes/iSCPreboot,,,,
2025-01-14_15-37-36,/dev/disk1s3,500 MB,0 MB,482 MB,1%,62   4942960    0%   /System/Volumes/Hardware,,,,
2025-01-14_15-37-36,/dev/disk3s5,233752 MB,184001 MB,22966 MB,89%,2953552 235180120    1%   /System/Volumes/Data,,,,
2025-01-14_15-37-36,map,0 MB,0 MB,0 MB,0,100%       0         0     -   /System/Volumes/Data/home,,,,
2025-01-14_15-37-47,/dev/disk3s1s1,233752 MB,10239 MB,22966 MB,31%,408310 235176560    0%   /,,,,
2025-01-14_15-37-47,devfs,0 MB,0 MB,0 MB,100%,750         0  100%   /dev,,,,
2025-01-14_15-37-47,/dev/disk3s6,233752 MB,9216 MB,22966 MB,29%,9 235176560    0%   /System/Volumes/VM,,,,
2025-01-14_15-37-47,/dev/disk3s2,233752 MB,6264 MB,22966 MB,22%,1110 235176560    0%   /System/Volumes/Preboot,,,,
2025-01-14_15-37-47,/dev/disk3s4,233752 MB,2 MB,22966 MB,1%,50 235176560    0%   /System/Volumes/Update,,,,
